financiamiento,tp_sexo,tp_area,inev,pes
Publico,Hombre,Urbana,7.46,670.0
Publico,Hombre,Urbana,6.71,585.0
Publico,Hombre,Urbana,7.37,645.0
Publico,Hombre,Urbana,8.63,790.0
Publico,Hombre,Urbana,7.37,655.0
Publico,Mujer,Urbana,6.78,605.0
Publico,Mujer,Urbana,8.46,790.0
Publico,Hombre,Urbana,7.28,650.0
Publico,Hombre,Urbana,7.08,645.0
Publico,Hombre,Urbana,7.01,620.0
Publico,Hombre,Urbana,7.8,695.0
Publico,Mujer,Urbana,6.49,575.0
Publico,Hombre,Urbana,7.54,680.0
Publico,Hombre,Urbana,7.21,635.0
Publico,Hombre,Urbana,6.78,600.0
Publico,Hombre,Urbana,7.73,695.0
Publico,Mujer,Urbana,7.11,620.0
Publico,Hombre,Urbana,6.95,605.0
Publico,Hombre,Urbana,7.03,615.0
Publico,Mujer,Urbana,7.21,635.0
Publico,Hombre,Urbana,6.87,605.0
Publico,Hombre,Urbana,7.51,660.0
Publico,Hombre,Urbana,6.19,540.0
Publico,Hombre,Urbana,6.58,580.0
Publico,Hombre,Urbana,7.4,660.0
Publico,Hombre,Urbana,7.05,625.0
Publico,Hombre,Urbana,7.44,665.0
Publico,Hombre,Urbana,7.17,635.0
Publico,Mujer,Urbana,8.91,845.0
Publico,Mujer,Urbana,6.87,595.0
Publico,Hombre,Urbana,6.73,610.0
Publico,Hombre,Urbana,7.36,650.0
Publico,Mujer,Urbana,7.17,625.0
Publico,Hombre,Urbana,6.61,590.0
Publico,Hombre,Urbana,7.08,630.0
Publico,Mujer,Urbana,6.92,605.0
Publico,Hombre,Urbana,7.7,700.0
Publico,Hombre,Urbana,7.0,615.0
Publico,Hombre,Urbana,7.06,615.0
Publico,Hombre,Urbana,7.24,640.0
Publico,Hombre,Urbana,7.29,645.0
Publico,Hombre,Urbana,7.53,675.0
Publico,Mujer,Urbana,6.37,560.0
Publico,Mujer,Urbana,7.65,685.0
Publico,Hombre,Urbana,6.86,595.0
Publico,Hombre,Urbana,6.85,605.0
Publico,Mujer,Urbana,8.13,745.0
Publico,Hombre,Urbana,6.22,555.0
Publico,Mujer,Urbana,6.83,590.0
Publico,Hombre,Urbana,6.33,565.0
Publico,Mujer,Urbana,7.49,670.0
Publico,Hombre,Urbana,7.55,675.0
Publico,Mujer,Urbana,7.0,605.0
Publico,Mujer,Urbana,6.9,595.0
Publico,Mujer,Urbana,6.61,580.0
Publico,Mujer,Urbana,7.36,655.0
Publico,Hombre,Urbana,7.37,650.0
Publico,Mujer,Urbana,5.88,530.0
Publico,Hombre,Urbana,6.81,600.0
Publico,Hombre,Urbana,6.53,585.0
Publico,Mujer,Urbana,7.26,650.0
Publico,Hombre,Urbana,7.7,690.0
Publico,Mujer,Urbana,6.94,610.0
Publico,Mujer,Urbana,7.13,620.0
Publico,Hombre,Urbana,6.76,605.0
Publico,Mujer,Urbana,6.66,580.0
Publico,Hombre,Urbana,7.18,625.0
Publico,Mujer,Urbana,7.1,625.0
Publico,Mujer,Urbana,6.88,620.0
Publico,Mujer,Urbana,5.92,530.0
Publico,Mujer,Urbana,7.22,640.0
Publico,Hombre,Urbana,7.17,625.0
Publico,Mujer,Urbana,7.54,675.0
Publico,Hombre,Urbana,7.27,650.0
Publico,Hombre,Urbana,6.98,610.0
